,Year,Count,Percent,absPercent
0,2020,81,3.0439684329199546,3.121387283236994
1,2019,127,2.709044368600683,3.0448333732917767
2,2018,75,1.6556291390728477,2.2275022275022276
3,2017,62,1.8585131894484412,2.448657187993681
4,2016,43,1.0747313171707074,2.5205158264947247
5,2015,3,0.10822510822510822,2.112676056338028
6,2014,11,0.3234342840341076,1.3836477987421385
7,2012,14,0.44614404079031234,2.0895522388059704
8,2010,17,0.6217995610826628,2.64797507788162
9,2008,8,0.39980009995002497,1.2903225806451613
10,2006,6,0.3146303093864709,1.1695906432748537
11,2004,1,0.057870370370370364,1.1764705882352942
